score,SMILES,Name
-16.179413,CC1(C)Oc2ccc(C[C@H](NC(=O)C(NC(=O)c3cccc(O)c3)C3CCCCC3)C(N)=O)cc2O1,CA117_AA6_AA0
-13.531009,NC(=O)[C@@H]1CC(F)(F)CN1C(=O)[C@@H](Cc1ccc(Br)cc1)NC(=O)c1cccc(O)c1,CA117_AA34_AA37
-13.719658,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)c2cc3ccccc3cc2NC(=O)c2cccc(O)c2)C(N)=O)c2ccccc21,CA117_AA12_AA61
-14.799728,NC(=O)[C@H](Cc1ccc(O)c(Cl)c1)NC(=O)[C@@H]1CCCN1C(=O)c1cccc(O)c1,CA117_AA48_AA21
-14.506701,NC(=O)[C@@H]1C[C@H](F)CN1C(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c1cccc(O)c1,CA117_AA23_AA35
-15.090984,NC(=O)[C@@H]1CC(F)(F)CN1C(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c1cccc(O)c1,CA117_AA23_AA37
-14.162683,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c1cccc(O)c1,CA117_AA23_AA48
-14.927549,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)[C@@H]2CSCN2C(=O)Cc2ccccc2)C(N)=O)c2ccccc21,CA108_AA24_AA61
-12.304155,C[C@H](NC(=O)[C@@H]1CCCCN1C(=O)c1cccc(O)c1)C(N)=O,CA117_AA45_AA46
-11.591801,CC1(C)Oc2ccc(C[C@H](NC(=O)c3cccc(O)c3)C(=O)NC(CC3CCC3)C(N)=O)cc2O1,CA117_AA0_AA43
-10.362184,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)C(CC2CCC2)NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)C(N)=O)c2ccccc21,CA26_AA43_AA61
-13.850771,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)[C@@H](Cc2ccc(Br)cc2)NC(=O)c2cccc(O)c2)C(N)=O)c2ccccc21,CA117_AA34_AA61
-12.050462,C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)NC1(C(N)=O)CCC1,CA122_AA46_AA4
-14.663272,NC(=O)c1cc2ccccc2cc1NC(=O)CNC(=O)c1cccc(O)c1,CA117_AA22_AA12
-13.21139,CC(C)(C)OC(=O)n1cc(C[C@H](NC(=O)c2cccc(O)c2)C(=O)NC2(C(N)=O)CCC(F)(F)CC2)c2ccccc21,CA117_AA61_AA13
-13.497012,CN(CC(N)=O)C(=O)[C@H](Cc1c[nH]c2ccc(O)cc12)NC(=O)c1ccc[nH]1,CA128_AA23_AA41
-13.330538,CC1(C)Oc2ccc(C[C@H](NC(=O)c3cccc(O)c3)C(=O)N3CCCC[C@H]3C(N)=O)cc2O1,CA117_AA0_AA45
-12.75956,CC1(C)Oc2ccc(C[C@H](NC(=O)c3cccc(O)c3)C(=O)N3CCC(CC(N)=O)CC3)cc2O1,CA117_AA0_AA31
-13.984497,NC(=O)c1ccc(NC(=O)[C@H](Cc2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)NC(=O)c2cc3ccccc3[nH]2)cc1,CA122_AA57_AA36
