score,SMILES,Name
0.786,O=C1N=C(n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)N=C2N=CN=C12,3888941_3640894_1592098
0.876,CC(=O)OC[C@@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1747043
0.951,CN[C@@H](CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2384916
0.809,N#Cc1cc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2[nH]c1=O,3888503_20436848_1592098
0.901,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CC[C@@H](O)CO)OCO3,3888941_34273814_1592098
0.854,O=C1C[C@H](C(=O)n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)CN1,3888941_4301264_1592098
0.88,N=C(N)NCCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_901626
0.901,O=C(NCCO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_1587868_1592098
0.818,O=C(O)c1ccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2c1,389863_20436848_1592098
0.877,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cccnc2c1=O,330903_20436848_1592098
0.843,O=C([C@@H]1CNCCN1)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_20268617_1592098
0.847,Nc1ccc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2c1,4880181_20436848_1592098
0.812,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2ccc3cn[nH]c3c2c1=O,112588_20436848_1592098
0.84,COc1cccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc12,389612_20436848_1592098
0.776,Cc1cc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c2cn1,34337536_20436848_1592098
0.812,O=C(O)CNC(=O)CCn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_1575546_1592098
0.78,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2c(cnc3ccnn32)c1=O,15021046_20436848_1592098
0.819,Cn1nnc([C@H](O)Cn2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)n1,3888941_1225225_1592098
0.835,O=c1cc(-n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)[nH]c(=O)[nH]1,3888941_967278_1592098
0.899,CS(=O)(=O)CC(=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_2165154_1592098
0.908,CN(C)C[C@@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_35024242
0.874,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1C[C@H]1CNCCO1)OCO3,3888941_4343734_1592098
0.858,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2[nH][nH]c(=O)c2c1=O,19737344_20436848_1592098
0.855,O=c1nc(-n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)nc[nH]1,3888941_12358729_1592098
0.857,Cc1ccnc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c12,2585537_20436848_1592098
0.797,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CCN(CCO)CCO)OCO3,3888941_19365633_1592098
0.886,N=C1NCCN1Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1483569
0.893,COC(=O)[C@H](O)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_14585674
0.874,COC(=O)[C@@H](O)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_14585673
0.834,O=C1NCCC[C@@H]1C(=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_5382647_1592098
