score,SMILES,Name
0.743,CCn1c(=O)ncc2c(=O)n(C3CC(O)(C(=O)O)C3)c([C@@H](N)CN(C)C)nc21,108267078_114118812_19366520
0.68,O=C1CNC[C@H](c2nc3cccc(C(=O)O)c3c(=O)n2[C@@H](CCO)C(=O)O)N1,389579_895146_38540696
0.669,COCCNC(=O)Cn1c([C@H]2CNC[C@@H]2O)nc2ncncc2c1=O,967326_4218734_14507983
0.673,N[C@@H]1CN[C@H](c2nc3c(cnn3CCO)c(=O)n2C(=O)[C@H]2NCCNC2=O)C1,1559230_215366323_95093504
0.661,COC(=O)[C@H](CO)n1c(CC[C@@H](N)C(N)=O)nc2c(ncn2C)c1=O,3985038_19230192_2560808
0.62,O=C(c1cnc[nH]c1=O)n1c([C@H](O)[C@H](O)CO)nc2nc[nH]c2c1=O,2580801_8672865_901063
0.693,C[C@@H](O)[C@@H](CO)n1c([C@@H]2C[C@@H](N)CN2)nc2ncc(C(=O)O)cc2c1=O,4202689_2436826_95831405
0.731,COc1ccc2c(=O)n(CCc3nnn[nH]3)c([C@@H](N)COC(N)=O)nc2c1,1604577_19090380_1529574
0.628,COc1cncc2nc(C3(O)CNC3)n([C@@H](C(=O)O)[C@@H](O)C(=O)O)c(=O)c12,35270322_3875092_95532446
0.717,O=C(O)CNC(=O)CCn1c(Cc2n[nH]c(=O)[nH]2)nc2cnncc2c1=O,39083039_1575546_19089113
0.706,Cc1n[nH]c2c(=O)n([C@H]3CO[C@H]4[C@@H]3OC[C@H]4O)c(CNC(N)=O)nc12,5544115_49587762_1464311
0.654,N=C(NCCO)n1c([C@@H]2CNC[C@H]2CO)nc2ccccc2c1=O,47985_1652056_4203972
0.797,Cc1ccc2c(=O)n(-c3cc(=O)[nH]c(=O)[nH]3)c(CNC=O)nc2n1,2585538_967278_1733657
0.732,O=C(O)Cn1nnc(-n2c([C@H]3NCCNC3=O)nc3c(C(=O)O)cccc3c2=O)n1,153908_4294607_15442541
0.585,COc1cnc2c(=O)n([C@H]3COC[C@@H]3O)c([C@H]3CNC[C@H]3CO)nc2n1,84307806_12957834_4203974
0.689,Cn1nnc([C@H](O)Cn2c([C@H](N)CC(N)=O)nc3ncccc3c2=O)n1,331646_1225225_1529313
0.77,Cc1n[nH]c2nc(CNC(=O)[C@@H](C)N)n(C(=N)CN3CC[C@H](O)C3)c(=O)c12,39083103_203414649_1575492
0.763,COC(=O)[C@@H](O)Cc1nc2cc(OC)ncc2c(=O)n1C(=O)[C@H]1[C@@H]2CNC[C@@H]21,95635282_103523515_14585673
0.677,Cc1ccnc2nc([C@H](O)[C@@H](O)CO)n(C[C@H](O)CN(C)C)c(=O)c12,2585537_19255181_901061
0.697,C[C@H](O)[C@H](N)c1nc2nscc2c(=O)n1CC(=O)NCCC(=O)O,22861807_1637970_1747072
0.649,C[C@H](O)[C@@H](C(=O)O)n1c([C@@H]2CNCCN2)nc2cc(O)ccc2c1=O,13352602_1747072_19363542
0.632,CN(CCO)Cc1nc2c(cnc3ccnn32)c(=O)n1C(C)(CO)CO,15021046_967755_11862698
0.797,NC[C@H](O)c1nc2ccc3cn[nH]c3c2c(=O)n1[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,112588_104600679_2034711
0.714,O=C(O)c1ccc2nc(Cn3cnnn3)n(Cc3c[nH]c(=O)[nH]c3=O)c(=O)c2c1,33494531_20417224_967442
0.655,Cn1nnc(-n2c(C3(O)COC3)nc3cncnc3c2=O)n1,11804330_16954943_96028244
0.649,CNC(=O)[C@H]([C@@H](C)O)n1c([C@H](CN)CO)nc2cc3c(cc2c1=O)OCO3,3888941_1510568_12502813
0.627,O=c1c2nsnc2nc([C@@H]2NCC[C@H]2O)n1CC[C@@H](O)CO,17327931_34273814_895590
0.717,O=C1NCCC[C@@H]1C(=O)n1c(Cc2nnn[nH]2)nc2[nH]ncc2c1=O,5116952_5382647_5178980
0.743,CC(=O)Nc1ccc2nc(CN3CCNCC3)n(C(=O)CS(C)(=O)=O)c(=O)c2c1,4640612_2165154_19735199
0.678,COC(=O)c1ccc2c(=O)n(CCN(CCO)CCO)c([C@@H](C)NC(=O)CN)nc2c1,14985559_19365633_1605215
0.684,O=c1c2nnc3ccnn3c2nc([C@H]2NCC[C@@H]2O)n1C1[C@H]2CS(=O)(=O)C[C@H]12,38700997_211858069_4096639
0.693,C[C@@H](O)[C@H](N)c1nc2ccncc2c(=O)n1CC[C@H](O)CO,333065_34273813_895103
0.632,O=C(O)c1ccc2c(=O)n([C@H](CO)C(=O)O)c([C@]3(O)C[C@H](O)C3)nc2c1,389863_895342_1083812835
0.62,N[C@H](c1nnn[nH]1)c1nc2cc(F)ncc2c(=O)n1C(=O)C[C@H](O)CO,95707580_2567781_3995585
0.709,O=C([C@@H]1CNCCO1)n1c([C@@H]2C[C@H](O)CN2)nc2c(nnn2CC2CC2)c1=O,256050123_19686020_901736
0.638,Cn1c(=O)c2c(=O)n([C@@H](CO)C(=O)O)c([C@@H](O)CCO)nc2n(C)c1=O,26895819_895034_2559503
0.704,Cn1nnc2nc([C@@H]3CNC(=O)CN3)n(C(=N)CO)c(=O)c21,104643604_4682886_76576478
0.581,CN[C@@H](CO)c1nc2[nH]c(=S)ncc2c(=O)n1[C@H](C(=O)OC)[C@H](C)O,6223297_34924608_2384916
0.721,Cn1cc2nc(C(O)O)n(C3=NC(=O)C4=NC=NC4=N3)c(=O)c2n1,2534276_3640894_6660936
0.703,COC(=O)[C@H](O)Cc1nc2nc(N)c(Cl)nc2c(=O)n1[C@@](C)(CO)C(=O)O,21298040_2042820_14585674
0.608,COc1cc(OC)c2c(=O)n([C@@H](CC(=O)O)C(=O)O)c(Cn3ncnn3)nc2c1,21994738_895032_31319659
0.628,CN1C[C@@H](O)[C@H](n2c([C@@H]3CNCC(=O)N3)nc3nnccc3c2=O)C1,4202687_34278490_38540697
0.711,CN1CC(=O)N=C1n1c([C@H](N)CCC(N)=O)nc2[nH]c(=O)c(C#N)cc2c1=O,3888503_967189_1532609
0.659,CNC(=S)NC(=N)n1c([C@@H](N)CCN)nc2c(cnn2C(C)(C)C)c1=O,137316859_33691246_52986906
0.653,CN[C@@]1(C(=O)n2c([C@H](N)CN(C)C)nc3c(C(N)=O)nsc3c2=O)CCNC1,5670120_307663923_35024242
0.69,NC(=O)[C@H](N)Cc1nc2ccc(O)cc2c(=O)n1C[C@H](CO)C(=O)O,2166823_12502813_1607276
0.68,CC(=O)OC[C@H](C(=O)O)n1c([C@H](N)CCO)nc2[nH][nH]c(=O)c2c1=O,19737344_1747043_1742215
0.698,CC(=O)N[C@@H](CO)c1nc2cnn(C)c2c(=O)n1C1CN(CCO)C1,2534273_82601602_158173
0.734,NCCC(=O)NCc1nc2ccc(N)cc2c(=O)n1C[C@H]1COC[C@@H]1O,4880181_76570824_1575546
0.685,NCC[C@@H](N)c1nc2c(sc3ncncc32)c(=O)n1[C@@H]1COC[C@H]1O,35269739_12957829_53122793
0.693,CC(=O)OC[C@@H](N)c1nc2nc(=O)[nH]cc2c(=O)n1C[C@@H](CO)C(=O)O,1699911_12502811_1747043
0.728,COc1ccc2nc([C@H](C)NC(=O)CN)n([C@@H]3CC[C@@H](O)[C@@H]3O)c(=O)c2c1,1715572_34071169_1730665
0.637,CCn1nnc2c(=O)n([C@H]3CN[C@H](C(=O)O)C3)c([C@@H](N)COC(C)=O)nc21,72221062_95831405_895446
0.724,COc1ccc2c(=O)n(C(=O)[C@@H]3CCC(=O)N3)c([C@H](CO)NC(N)=O)nc2c1OC,36404812_4403946_2626461
0.64,Cc1ccc2c(=O)n([C@H](CN(C)C)C(=O)O)c([C@@H]3CNC[C@H]3O)nc2n1,2585538_35024242_14507986
0.75,NCC[C@@H](N)c1nc2cncnc2c(=O)n1CCNC1COC1,11804330_82488584_53122793
0.738,Cc1n[nH]c2nc([C@H](N)CO)n(C(=O)[C@H]3NCCNC3=O)c(=O)c12,39083103_215366323_895342
0.62,Cn1ncc2c(=O)n(CC3(O)COC3)c([C@@](C)(N)CO)nc21,19850925_74938389_2042820
0.716,COC(=O)[C@@H](O)Cc1nc2nccc(C)c2c(=O)n1CC[C@H](O)CO,2585537_34273813_14585673
0.721,COCc1ncc2c(=O)n([C@@H](CO)COC)c([C@@H](N)COC(N)=O)nc2n1,95883519_21984469_1529574
0.644,Cc1n[nH]c2c(=O)n(C(=O)[C@@H]3CNCCN3)c([C@H]3CNCC(=O)N3)nc12,5544115_20268617_38540696
0.6,COc1cc2nc([C@@H](N)CN(C)C)n(C[C@H](CO)C(=O)O)c(=O)c2cn1,95635282_12502813_19366520
0.744,C[C@@H](NC(=O)CN)c1nc2cc(N)ncc2c(=O)n1C1=NC(=O)C2=NC=NC2=N1,39066342_3640894_1605215
